Id,BinCenters,BinCount_GFP_MEFL,BinCount_RFP_MEFL
Ara 1000 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,314
,7.079,0,613
,8.913,0,537
,11.22,0,1071
,14.13,0,1056
,17.78,1,1481
,22.39,8,1624
,28.18,2,1877
,35.48,6,2221
,44.67,8,2768
,56.23,5,3334
,70.79,5,3950
,89.13,9,4261
,112.2,22,4393
,141.3,22,3880
,177.8,19,3237
,223.9,32,2656
,281.8,28,1945
,354.8,45,1448
,446.7,53,1138
,562.3,59,929
,707.9,66,796
,891.3,72,691
,1122,77,574
,1413,83,433
,1778,115,266
,2239,101,168
,2818,163,89
,3548,168,53
,4467,221,24
,5623,231,9
,7079,310,4
,8913,430,2
,11220,626,1
,14130,810,0
,17780,1211,0
,22390,1706,0
,28180,2578,0
,35480,3764,0
,44670,5069,0
,56230,6380,0
,70790,6641,0
,89130,5585,0
,112200,4226,0
,141300,2512,0
,177800,1182,0
,223900,526,0
,281800,244,0
,354800,105,0
,446700,21,0
,562300,0,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,305
,7.079,0,593
,8.913,0,558
,11.22,0,1136
,14.13,0,1113
,17.78,1,1539
,22.39,6,1699
,28.18,5,2048
,35.48,6,2520
,44.67,11,3028
,56.23,14,3537
,70.79,16,4276
,89.13,13,4486
,112.2,25,4379
,141.3,30,3684
,177.8,47,2992
,223.9,36,2517
,281.8,61,1855
,354.8,82,1489
,446.7,90,1217
,562.3,134,928
,707.9,167,906
,891.3,170,854
,1122,202,683
,1413,281,599
,1778,278,400
,2239,254,197
,2818,192,110
,3548,229,48
,4467,221,23
,5623,208,10
,7079,226,2
,8913,319,1
,11220,388,0
,14130,693,1
,17780,1092,0
,22390,2029,0
,28180,3131,0
,35480,4847,0
,44670,6208,0
,56230,7108,0
,70790,6717,0
,89130,5118,0
,112200,3371,0
,141300,2053,0
,177800,896,0
,223900,426,0
,281800,193,0
,354800,57,0
,446700,13,0
,562300,3,0
,707900,0,0
,891300,0,0
,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,239
,7.079,0,449
,8.913,0,468
,11.22,0,789
,14.13,0,769
,17.78,0,1172
,22.39,6,1344
,28.18,7,1707
,35.48,7,2087
,44.67,10,2493
,56.23,8,2903
,70.79,17,3527
,89.13,15,3651
,112.2,21,3662
,141.3,39,3483
,177.8,29,3080
,223.9,38,2477
,281.8,65,1936
,354.8,65,1548
,446.7,78,1276
,562.3,115,1137
,707.9,160,1034
,891.3,162,975
,1122,197,885
,1413,228,738
,1778,228,442
,2239,244,266
,2818,191,130
,3548,171,44
,4467,179,20
,5623,210,4
,7079,252,7
,8913,382,3
,11220,527,0
,14130,837,0
,17780,1249,0
,22390,1773,1
,28180,2690,0
,35480,3738,0
,44670,5006,0
,56230,6062,0
,70790,6296,0
,89130,5378,0
,112200,3972,0
,141300,2465,0
,177800,1192,0
,223900,521,0
,281800,284,0
,354800,96,0
,446700,17,0
,562300,2,0
,707900,1,0
,891300,0,0
Ara  100 uM,1.122,0,0
,1.413,0,0
,1.778,0,0
,2.239,0,0
,2.818,0,0
,3.548,0,0
,4.467,0,0
,5.623,0,310
,7.079,0,713
,8.913,0,659
,11.22,0,1343
,14.13,0,1266
,17.78,8,1927
,22.39,36,2090
,28.18,24,2524
,35.48,39,2780
,44.67,46,3271
,56.23,55,3574
,70.79,69,3925
,89.13,100,4041
,112.2,112,3784
,141.3,162,3542
,177.8,174,3105
,223.9,207,2849
,281.8,252,2753
,354.8,355,2433
,446.7,408,2210
,562.3,445,2031
,707.9,562,1865
,891.3,595,1522
,1122,794,1249
,1413,921,987
,1778,1155,608
,2239,1359,342
,2818,1624,171
,3548,1867,69
,4467,2066,38
,5623,2486,14
,7079,2735,6
,8913,3160,2
,11220,3683,2
,14130,4297,1
,17780,4462,0
,22390,4475,0
,28180,4536,0
,35480,4570,1
,44670,4373,0
,56230,3860,0
,70790,3049,0
,89130,2171,0
,112200,1228,0
,141300,683,0
,177800,273,0
,223900,128,0
,281800,61,0
,354800,16,0
,446700,2,0
,562300,0,0
,707900,0,0
,891300,0,0
